2901	15883	11
7836	10213	0
11498	8003	18
9222	10704	8
150	22305	0
20836	1505	20
116	4138	14
105	14424	8
1204	8935	1
1289	1053	7
133	11620	10
313	13261	10
17516	14991	27
105	1650	8
1110	26557	13
28	8314	17
131	13917	15
111	21986	19
12	21387	6
80018	25856	16
7492	27945	3
3087	10007	2
14	29199	22
168	3535	16
3275	4094	21
12	30155	11
3474	25463	0
79685	9918	6
1411	12024	2
149	8898	9
8761	12398	34
2097	722	0
47238	22109	3
32506	1187	0
47564	15219	1
45594	3327	17
3644	25621	14
107	22521	2
286	15560	0
255	27446	7
108	339	4
604	26110	22
1601	8413	7
1350	14621	3
2033	24461	10
71819	20565	28
159	42	5
12	14039	21
103	24984	15
101	8745	20
457	21987	6
294	25170	0
118	19286	2
47898	1547	1
10761	22677	8
173	29006	10
106	23289	6
72344	28937	19
2371	12049	7
531	1441	30
1687	26835	5
793	22591	21
751	10900	15
672	1523	7
2071	8599	3
16358	20512	10
211	24331	13
114	17041	11
271	6491	7
9	25753	18
561	28344	6
120	22466	2
106	2600	6
478	17570	2
448	9594	25
1745	20453	12
115	26504	17
2227	22012	18
66372	27857	13
11863	30109	9
379	2937	1
29735	16354	25
38194	3037	2
107	30163	7
138	5701	8
3533	4175	8
17364	21453	8
697	5375	10
